TEAM,CONF,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,SEED,YEAR,WIN_PCT
College of Charleston,CAA,113.3,105.2,0.7019,52.4,50.6,14.3,16.4,33.5,26.6,26.9,28.3,52.6,50.5,34.8,33.8,70.0,13.0,2024,0.8181818181818182
Vermont,AE,104.5,98.7,0.6593,51.8,46.7,13.8,15.1,22.4,23.3,29.7,25.9,53.1,46.4,33.5,31.5,63.3,13.0,2024,0.875
Akron,MAC,105.0,101.6,0.5953,52.0,48.6,17.2,16.6,29.5,25.6,33.6,29.0,54.8,50.7,32.0,30.0,65.7,14.0,2024,0.75
Morehead St.,OVC,106.7,103.4,0.5889,54.4,45.7,18.5,15.5,32.0,26.4,31.3,32.7,55.6,45.4,35.3,31.1,64.3,14.0,2024,0.8666666666666667
Oakland,Horz,107.8,104.6,0.5853,52.1,50.6,16.2,16.3,30.6,28.6,30.9,26.8,51.8,50.5,35.1,33.9,66.8,14.0,2024,0.6764705882352942
Colgate,Pat,102.3,101.8,0.5128,53.4,47.2,16.3,16.1,25.0,24.5,27.6,24.5,53.3,48.7,35.7,29.9,66.2,14.0,2024,0.7575757575757576
Western Kentucky,CUSA,105.2,101.8,0.5938,51.9,48.3,18.3,18.6,28.5,26.7,32.9,33.4,52.1,48.3,34.4,32.2,75.1,15.0,2024,0.7333333333333333
South Dakota St.,Sum,107.6,104.4,0.5836,55.3,50.8,16.4,16.5,24.4,25.3,30.4,27.4,55.9,49.0,36.2,35.2,67.9,15.0,2024,0.7096774193548387
Long Beach St.,BW,105.4,108.0,0.4313,48.9,51.2,17.1,18.5,33.3,29.6,38.1,32.6,49.7,50.0,31.3,35.1,71.4,15.0,2024,0.6363636363636364
Saint Peter's,MAAC,96.8,100.2,0.4038,45.0,46.6,19.6,20.3,35.1,29.4,38.1,42.3,42.4,46.4,33.9,31.5,64.0,15.0,2024,0.6129032258064516
Longwood,BSth,104.0,104.8,0.4768,49.4,51.3,18.0,19.6,36.7,25.5,39.5,36.1,48.6,50.9,34.2,34.6,66.8,16.0,2024,0.6774193548387096
Montana St.,BSky,102.9,105.8,0.4193,53.9,52.3,16.8,18.6,20.7,28.6,30.7,37.0,53.4,54.1,36.4,32.6,68.5,16.0,2024,0.5483870967741935
Stetson,ASun,108.3,114.0,0.3559,53.4,52.0,15.8,13.5,27.5,31.2,31.7,25.9,52.5,52.2,36.5,34.5,66.0,16.0,2024,0.7096774193548387
Howard,MEAC,104.5,112.9,0.2913,52.0,50.9,21.4,16.7,33.4,30.7,42.2,39.1,49.2,50.8,37.5,34.0,67.7,16.0,2024,0.5625
Grambling St.,SWAC,97.7,106.0,0.2805,48.2,49.1,20.5,19.0,28.1,32.7,39.6,33.9,47.0,48.4,34.1,33.7,64.9,16.0,2024,0.6451612903225806
Wagner,NEC,95.0,105.0,0.2399,44.6,48.4,15.9,17.0,29.5,27.0,26.8,29.9,42.8,50.9,31.6,29.9,61.3,16.0,2024,0.5517241379310345
St. John's,BE,119.1,98.3,0.9005,50.9,49.5,15.7,18.5,38.6,30.3,27.3,34.4,50.8,47.9,34.1,35.0,69.2,,2024,0.6060606060606061
Villanova,BE,110.4,93.5,0.871,50.7,48.2,14.5,16.1,25.2,24.4,26.5,25.9,50.4,47.6,34.0,32.7,63.3,,2024,0.5454545454545454
Wake Forest,ACC,116.5,99.0,0.866,54.7,48.9,15.6,16.2,26.3,26.2,31.5,30.7,54.0,48.8,37.2,32.6,68.0,,2024,0.6060606060606061
Ohio St.,B10,115.5,98.4,0.8636,51.2,48.2,15.6,15.9,31.4,29.2,33.9,31.1,51.0,46.4,34.3,34.7,65.4,,2024,0.6060606060606061
Pittsburgh,ACC,115.8,98.9,0.86,51.6,49.0,13.4,16.6,31.0,23.8,30.5,30.5,50.0,50.8,35.7,30.8,65.8,,2024,0.6666666666666666
Cincinnati,B12,111.2,95.5,0.8521,50.0,47.6,17.4,17.6,37.2,25.6,27.9,29.6,50.8,46.4,32.4,33.3,67.3,,2024,0.5882352941176471
Indiana St.,MVC,117.5,101.3,0.8464,59.9,49.0,16.5,15.5,23.4,23.1,32.5,25.5,62.0,48.7,38.4,33.0,70.5,,2024,0.8484848484848485
Oklahoma,B12,113.1,97.6,0.8436,53.1,47.4,18.1,16.5,30.1,26.2,37.7,31.1,53.9,48.9,34.5,29.9,67.1,,2024,0.625
Utah,P12,112.9,97.6,0.8419,53.7,48.6,16.3,14.5,28.3,26.2,27.4,26.2,53.8,47.2,35.7,34.0,69.7,,2024,0.5757575757575758
Iowa,B10,119.1,103.9,0.828,52.7,52.1,13.1,16.6,27.6,30.5,33.0,33.1,53.0,51.0,34.7,36.1,71.6,,2024,0.5625
Seton Hall,BE,111.6,97.7,0.8219,49.8,49.5,18.8,17.8,35.9,29.3,32.5,27.4,50.1,48.5,32.7,33.8,66.0,,2024,0.625
Butler,BE,112.4,98.7,0.8167,51.8,49.9,15.2,16.1,26.2,29.0,27.0,22.5,51.5,50.7,34.8,32.5,68.4,,2024,0.5806451612903226
Virginia Tech,ACC,116.0,101.9,0.8166,54.1,51.5,16.3,17.1,25.2,26.5,33.1,30.0,55.1,51.5,35.1,34.4,67.5,,2024,0.5625
Providence,BE,108.5,95.3,0.8151,51.7,47.5,17.5,17.1,27.1,27.7,32.2,27.9,53.7,45.6,32.8,34.2,67.8,,2024,0.6176470588235294
UCF,B12,106.5,94.0,0.8086,47.7,47.5,18.0,20.3,32.9,27.3,37.2,39.0,47.4,45.9,32.1,33.3,68.4,,2024,0.53125
Bradley,MVC,111.8,98.8,0.8056,55.7,47.6,18.1,18.5,28.5,27.9,27.5,35.7,55.0,46.2,37.7,33.2,66.2,,2024,0.6875
Washington,P12,114.4,101.2,0.8037,53.5,50.1,15.9,15.8,27.1,28.9,32.1,33.1,53.8,49.9,35.4,33.7,71.1,,2024,0.53125
Xavier,BE,111.4,98.7,0.8008,49.0,49.6,16.2,16.2,32.1,29.0,32.0,30.0,48.0,49.4,34.0,33.3,70.9,,2024,0.48484848484848486
Kansas St.,B12,107.8,95.7,0.7978,50.0,46.5,21.3,15.9,32.5,30.5,38.9,32.6,51.5,46.7,32.0,30.7,67.2,,2024,0.5757575757575758
Maryland,B10,105.7,94.3,0.7891,46.7,46.7,17.5,18.8,31.7,29.1,40.8,33.5,48.8,45.7,28.9,32.8,65.4,,2024,0.48484848484848486
North Texas,Amer,109.4,97.8,0.7834,50.8,47.5,17.8,19.6,33.9,31.9,29.1,40.3,47.2,46.8,37.7,32.5,61.3,,2024,0.6
UNLV,MWC,111.3,99.6,0.7822,51.1,49.1,16.4,18.2,30.1,32.2,34.0,31.7,51.8,50.1,33.2,31.7,64.9,,2024,0.6551724137931034
SMU,Amer,111.0,99.5,0.779,50.8,46.7,16.6,18.9,38.5,31.3,28.3,33.1,50.5,46.1,34.3,31.8,67.4,,2024,0.6451612903225806
San Francisco,WCC,109.6,98.5,0.7729,55.2,49.5,16.8,19.8,29.3,24.2,23.7,38.5,57.1,48.5,34.9,34.2,67.0,,2024,0.71875
USC,P12,110.0,99.0,0.7698,51.7,50.2,17.9,18.8,29.0,32.2,33.6,31.6,50.7,47.4,35.5,36.5,68.1,,2024,0.45454545454545453
Penn St.,B10,110.2,99.2,0.7686,50.3,50.2,15.7,20.7,26.8,32.2,35.3,36.3,50.5,52.5,33.4,30.3,69.8,,2024,0.48484848484848486
Minnesota,B10,114.0,102.9,0.7651,54.3,50.1,17.6,15.9,30.8,29.1,35.6,29.9,54.7,48.3,35.8,36.3,66.6,,2024,0.5625
Mississippi,SEC,113.6,102.8,0.7591,51.2,50.2,15.7,18.1,30.1,36.2,35.1,32.3,49.2,50.0,36.6,33.8,66.8,,2024,0.625
Georgia,SEC,109.6,99.3,0.7581,49.8,49.8,16.1,16.3,27.5,30.8,38.4,30.2,49.3,49.7,33.6,33.2,68.4,,2024,0.5151515151515151
Richmond,A10,106.8,96.8,0.7566,53.0,46.7,12.8,17.2,17.0,26.6,28.1,26.5,52.0,46.6,36.5,31.3,66.8,,2024,0.71875
Syracuse,ACC,111.2,100.8,0.7563,51.3,52.8,15.9,20.1,24.1,31.8,34.1,26.6,51.9,53.2,33.4,34.7,70.7,,2024,0.6451612903225806
Indiana,B10,109.8,99.5,0.7549,52.1,49.0,17.5,14.9,26.9,29.7,37.7,31.6,53.4,47.4,32.4,34.3,68.4,,2024,0.5757575757575758
LSU,SEC,110.4,100.3,0.7503,52.2,49.5,18.6,18.3,30.7,31.2,38.9,33.5,51.7,49.2,35.3,33.2,69.7,,2024,0.53125
VCU,A10,107.9,98.3,0.7455,52.2,46.6,18.3,16.7,28.3,26.9,35.7,34.8,51.2,46.3,35.7,31.4,65.2,,2024,0.6285714285714286
Loyola Chicago,A10,104.8,95.5,0.7447,51.8,46.2,18.6,17.8,27.1,25.1,33.6,36.2,51.1,43.4,35.2,34.2,68.6,,2024,0.7419354838709677
Boston College,ACC,111.8,102.0,0.7427,52.7,50.4,15.5,16.0,27.3,26.7,25.5,28.4,51.8,49.5,36.1,34.6,67.1,,2024,0.5588235294117647
Florida St.,ACC,110.1,100.7,0.7372,50.3,52.2,16.4,20.7,28.5,32.8,36.8,41.0,51.5,51.6,31.7,35.4,70.9,,2024,0.5151515151515151
UCLA,P12,107.6,98.5,0.7339,46.6,50.1,16.5,18.1,29.9,28.3,35.8,35.8,45.2,49.7,33.3,33.7,63.1,,2024,0.5
UC Irvine,BW,108.2,99.2,0.7313,52.0,45.9,17.0,17.5,31.3,27.7,34.6,35.5,51.9,44.2,34.9,33.3,68.4,,2024,0.75
Princeton,Ivy,114.5,104.9,0.7312,54.6,51.4,12.0,16.7,24.2,24.8,29.2,24.7,56.3,52.9,35.3,32.7,64.8,,2024,0.9230769230769231
South Florida,Amer,109.4,100.4,0.7288,51.8,47.6,15.4,18.6,28.2,30.5,37.7,34.8,49.5,48.2,36.6,31.1,67.9,,2024,0.7741935483870968
Miami FL,ACC,109.9,101.1,0.7241,52.7,51.0,17.2,16.6,28.7,28.5,24.6,22.3,51.6,52.0,36.1,33.3,68.7,,2024,0.46875
Louisiana Tech,CUSA,107.7,99.0,0.7237,50.6,45.6,18.8,17.6,33.8,28.0,42.0,32.0,49.0,43.0,35.7,33.5,65.6,,2024,0.7586206896551724
Memphis,Amer,111.5,102.6,0.7236,52.8,50.0,18.0,19.1,33.4,33.6,36.3,29.6,52.9,49.3,35.0,34.0,71.6,,2024,0.6875
Massachusetts,A10,110.9,102.1,0.7214,50.6,48.5,16.0,18.9,36.5,30.1,35.8,38.6,52.6,47.5,31.3,33.5,68.3,,2024,0.6451612903225806
Saint Joseph's,A10,110.6,102.0,0.7174,53.0,49.0,16.4,17.6,29.3,29.1,29.5,29.0,52.7,48.5,35.6,33.1,68.3,,2024,0.6176470588235294
George Mason,A10,108.7,100.3,0.7166,52.0,48.0,18.1,16.4,31.7,27.4,36.7,31.8,52.3,45.0,34.3,34.8,63.8,,2024,0.6451612903225806
Appalachian St.,SB,106.0,98.4,0.7017,52.7,45.1,15.3,14.6,29.7,27.8,32.3,19.8,53.8,43.7,33.6,32.1,66.7,,2024,0.8709677419354839
Rutgers,B10,98.1,91.4,0.6928,43.5,47.2,16.6,21.7,30.2,31.3,32.9,34.3,43.7,46.0,28.7,32.7,67.8,,2024,0.46875
Stanford,P12,109.8,102.5,0.6901,54.3,51.9,17.8,15.5,23.2,27.3,28.6,25.3,53.6,50.9,36.9,35.7,69.5,,2024,0.4375
St. Bonaventure,A10,111.0,103.7,0.6876,52.3,51.1,16.2,19.2,29.7,28.5,32.2,33.9,50.8,51.8,36.5,33.5,65.4,,2024,0.6060606060606061
Belmont,MVC,109.1,102.1,0.6819,55.0,51.1,16.7,16.4,21.0,27.5,30.3,27.0,54.5,52.2,37.2,33.0,71.1,,2024,0.625
Oklahoma St.,B12,108.8,101.8,0.681,51.3,51.3,18.8,16.8,27.5,28.5,34.0,27.6,52.2,51.5,33.4,34.0,67.1,,2024,0.375
Charlotte,Amer,108.6,101.8,0.6783,50.8,48.5,15.5,15.2,26.1,29.0,35.2,31.5,53.2,49.5,31.3,31.1,62.4,,2024,0.6333333333333333
Arkansas,SEC,109.5,102.7,0.6777,50.5,50.4,16.3,15.1,25.2,29.8,45.3,39.0,51.8,50.1,31.8,33.9,70.6,,2024,0.48484848484848486
Northern Iowa,MVC,108.7,102.3,0.6677,51.6,52.2,15.2,16.5,23.9,22.5,37.4,30.5,51.9,52.0,34.1,35.0,66.5,,2024,0.59375
Cornell,Ivy,111.4,105.2,0.6573,56.5,51.3,17.2,18.5,27.2,31.0,28.8,32.6,61.7,52.4,33.9,33.2,71.5,,2024,0.8148148148148148
Hofstra,CAA,107.9,102.0,0.657,55.4,49.0,15.7,17.7,22.9,29.7,22.3,29.0,55.5,46.9,36.8,34.6,65.6,,2024,0.625
Western Carolina,SC,107.7,101.9,0.6541,51.7,47.2,14.7,13.3,29.1,24.2,27.7,32.4,49.8,45.5,36.8,33.9,66.8,,2024,0.7586206896551724
Michigan,B10,110.0,104.4,0.6464,51.1,52.5,18.6,13.7,30.7,30.4,32.0,30.5,49.5,51.7,35.9,36.1,67.4,,2024,0.25
California,P12,107.8,102.7,0.6368,49.2,51.3,16.2,14.7,28.6,26.7,29.2,33.1,48.0,50.0,33.8,35.7,68.4,,2024,0.40625
Southern Illinois,MVC,108.5,103.4,0.6364,52.5,50.1,16.8,16.2,26.1,25.6,35.9,36.5,53.4,52.1,34.3,30.4,64.2,,2024,0.6129032258064516
UT Arlington,WAC,108.2,103.1,0.636,52.1,49.0,21.5,18.6,32.8,29.4,39.0,42.0,51.3,47.4,35.4,34.6,70.8,,2024,0.625
Santa Clara,WCC,108.4,103.3,0.6344,52.3,48.4,18.2,14.4,34.1,26.1,31.6,33.3,52.6,48.9,34.5,31.7,69.0,,2024,0.625
Davidson,A10,104.7,99.9,0.6331,48.9,49.4,16.3,17.2,26.1,27.8,33.5,32.8,50.8,49.5,30.7,32.8,65.4,,2024,0.5
Troy,SB,106.7,101.8,0.6307,50.1,49.8,19.6,20.8,34.8,30.7,41.3,39.8,48.2,47.7,35.3,35.9,69.6,,2024,0.6896551724137931
UNC Wilmington,CAA,112.5,107.9,0.6178,51.1,51.7,12.8,17.1,29.9,30.6,32.9,33.1,52.1,50.8,33.0,35.5,65.1,,2024,0.75
High Point,BSth,114.1,109.5,0.6162,52.3,50.2,16.2,14.1,37.1,25.5,44.4,38.2,53.6,49.6,33.7,34.4,68.5,,2024,0.8064516129032258
Georgia Tech,ACC,107.9,103.8,0.6095,48.7,49.2,17.7,12.8,31.6,28.5,29.2,31.6,48.6,49.5,32.6,32.6,67.4,,2024,0.4375
West Virginia,B12,108.7,104.6,0.6082,49.6,52.1,18.3,15.0,26.6,30.4,37.1,28.1,47.8,51.9,34.9,34.9,68.3,,2024,0.28125
UC San Diego,BW,110.7,106.6,0.6082,52.1,50.3,14.3,17.0,27.5,27.9,32.5,29.4,52.3,50.2,34.5,33.7,65.3,,2024,0.7
Arizona St.,P12,103.1,99.3,0.6075,47.3,51.7,14.8,19.4,21.8,29.7,33.1,31.2,48.6,52.2,30.1,34.0,69.0,,2024,0.4375
Notre Dame,ACC,101.9,98.2,0.6052,47.6,48.2,19.1,15.2,28.4,26.7,27.9,27.4,47.5,47.8,31.8,32.5,64.2,,2024,0.3939393939393939
Drexel,CAA,107.0,103.2,0.6028,50.6,47.8,16.5,13.1,33.6,24.5,30.0,26.7,50.3,48.2,34.1,31.4,64.5,,2024,0.6451612903225806
Seattle,WAC,103.7,100.1,0.6022,50.7,46.4,18.5,17.3,29.4,26.1,34.2,37.2,50.1,47.4,34.3,29.7,66.7,,2024,0.59375
Sam Houston St.,CUSA,105.5,101.9,0.5965,48.6,49.8,18.8,19.0,32.0,27.0,34.7,37.0,46.5,50.5,35.1,32.5,67.7,,2024,0.6774193548387096
Wichita St.,Amer,104.7,101.5,0.5887,49.8,48.5,17.8,14.8,31.8,28.7,26.4,28.3,49.9,48.1,33.0,32.7,68.1,,2024,0.45454545454545453
Missouri,SEC,108.0,104.8,0.5862,50.2,51.4,16.8,18.7,26.8,35.8,31.7,42.5,51.8,51.2,31.9,34.4,66.6,,2024,0.25
Arkansas St.,SB,112.8,109.4,0.5859,51.7,50.4,16.2,14.1,33.9,28.7,32.7,35.7,51.3,49.4,34.9,35.4,68.0,,2024,0.5294117647058824
Youngstown St.,Horz,106.6,104.2,0.5666,50.4,49.0,15.5,16.5,33.9,28.7,29.3,30.7,52.2,47.9,31.9,34.0,68.8,,2024,0.7857142857142857
Louisiana Lafayette,SB,104.9,102.6,0.5647,50.7,49.9,16.8,20.6,30.8,32.9,28.6,40.1,51.7,53.7,32.6,27.9,68.5,,2024,0.6129032258064516
UNC Greensboro,SC,108.7,106.4,0.5633,53.2,49.5,16.3,17.7,29.3,30.5,27.3,35.8,49.2,48.0,38.9,34.3,64.7,,2024,0.7
Towson,CAA,102.3,100.3,0.5567,47.3,48.3,19.2,16.9,39.8,27.2,34.7,31.7,46.4,47.4,32.8,33.3,62.1,,2024,0.6060606060606061
St. Thomas,Sum,106.8,104.7,0.5555,54.4,52.0,14.8,18.5,24.0,25.5,29.4,29.0,55.0,52.8,35.7,33.8,62.9,,2024,0.6666666666666666
Toledo,MAC,111.4,109.3,0.5535,53.3,54.5,15.1,18.5,29.0,28.5,35.4,26.3,52.0,56.4,37.7,34.2,69.2,,2024,0.625
Ohio,MAC,107.7,105.7,0.5522,52.2,49.2,14.1,19.2,28.0,31.9,32.1,34.7,51.9,48.4,35.1,33.8,67.3,,2024,0.625
Tarleton St.,WAC,107.5,105.6,0.5508,49.7,50.5,16.9,20.1,30.4,33.7,30.6,35.8,49.5,50.5,33.4,33.6,66.3,,2024,0.7931034482758621
Missouri St.,MVC,103.8,101.9,0.5507,49.7,48.0,17.3,13.1,29.1,24.7,31.5,24.9,51.2,47.0,31.4,33.0,67.8,,2024,0.5151515151515151
Tulane,Amer,109.1,107.2,0.5485,54.1,51.1,15.1,17.3,20.5,32.7,45.5,32.7,54.5,50.2,35.5,34.9,72.8,,2024,0.4666666666666667
Liberty,CUSA,107.9,106.1,0.5481,54.3,50.8,16.2,17.0,24.5,25.5,26.7,30.3,55.0,51.9,35.7,32.3,64.4,,2024,0.6206896551724138
Wright St.,Horz,115.2,113.5,0.5435,58.5,55.3,16.5,16.3,28.9,28.1,33.6,30.0,58.8,55.0,38.4,37.1,71.4,,2024,0.6
Oregon St.,P12,106.0,104.5,0.5417,49.8,51.3,18.3,16.8,26.2,31.1,35.6,35.9,49.9,52.3,33.1,33.2,65.1,,2024,0.41935483870967744
Murray St.,MVC,107.0,105.6,0.5394,50.0,54.5,14.4,17.9,26.5,25.5,29.6,27.7,51.3,53.8,31.6,37.0,64.4,,2024,0.3870967741935484
Wyoming,MWC,107.8,106.4,0.5371,50.9,52.8,18.5,15.9,28.6,29.1,38.0,27.8,49.0,53.7,36.1,34.4,67.1,,2024,0.5
Furman,SC,108.5,107.3,0.5328,52.1,52.9,15.9,16.2,29.4,26.6,31.0,28.5,54.3,53.9,33.2,34.1,68.8,,2024,0.5666666666666667
Chattanooga,SC,109.5,108.3,0.5326,54.8,49.9,17.1,14.5,27.2,28.8,30.9,27.3,56.1,47.9,35.7,35.1,66.8,,2024,0.6774193548387096
Montana,BSky,110.9,109.7,0.5306,54.6,51.1,14.6,14.2,25.2,25.8,29.5,35.0,55.1,50.3,35.8,35.2,66.1,,2024,0.7419354838709677
Delaware,CAA,104.3,103.6,0.5186,51.9,48.7,16.0,15.1,27.5,27.9,30.9,27.1,53.2,49.7,33.0,31.3,67.3,,2024,0.59375
UC Davis,BW,102.0,101.5,0.5153,50.2,49.1,19.3,20.9,28.6,30.6,38.2,38.4,50.8,49.1,32.9,32.7,67.1,,2024,0.6451612903225806
Quinnipiac,MAAC,105.6,105.2,0.5118,50.6,48.8,16.9,17.6,31.5,28.3,30.6,29.5,49.8,47.5,34.7,34.0,71.1,,2024,0.75
UTEP,CUSA,97.9,97.6,0.5085,48.1,51.5,21.2,25.9,29.0,31.0,42.8,46.3,48.8,53.2,31.0,32.1,69.5,,2024,0.5806451612903226
Stony Brook,CAA,106.0,105.7,0.5085,50.3,50.0,15.1,15.2,26.6,29.3,29.2,27.4,48.6,48.4,35.5,34.8,67.3,,2024,0.5882352941176471
Weber St.,BSky,107.2,106.9,0.5082,53.1,54.4,14.8,18.4,23.8,23.7,35.2,29.3,53.9,55.2,34.5,35.4,65.4,,2024,0.6896551724137931
Eastern Washington,BSky,110.5,110.4,0.5025,57.2,52.8,19.0,16.3,26.4,27.1,39.6,33.5,58.7,51.0,36.8,36.9,70.4,,2024,0.7
Winthrop,BSth,106.0,106.0,0.5009,51.9,49.5,18.7,18.2,30.4,32.9,50.0,34.3,52.8,50.6,33.7,32.0,66.9,,2024,0.5862068965517241
East Carolina,Amer,104.7,104.9,0.4929,47.6,51.3,16.3,18.7,32.7,31.0,34.0,32.7,48.1,52.5,31.2,33.1,64.8,,2024,0.46875
UMass Lowell,AE,104.9,105.4,0.4866,50.4,47.3,18.2,15.5,32.1,26.9,40.1,26.9,51.3,49.1,32.3,29.2,69.7,,2024,0.7586206896551724
UNC Asheville,BSth,106.0,106.6,0.4851,52.1,50.1,17.1,16.9,27.3,31.4,40.8,34.3,50.5,50.6,36.4,32.9,68.1,,2024,0.7096774193548387
Bryant,AE,100.0,100.6,0.4819,50.7,45.4,15.8,16.7,20.4,30.2,29.9,33.8,51.7,45.0,32.7,30.8,74.1,,2024,0.6451612903225806
Kent St.,MAC,105.0,105.8,0.4763,50.7,51.3,17.2,18.5,31.0,28.7,31.9,34.9,48.5,52.6,36.0,33.0,66.6,,2024,0.53125
Texas A&M Corpus Chris,Slnd,100.0,100.9,0.474,46.8,47.6,17.8,19.8,33.6,25.1,35.9,47.9,47.4,48.2,30.4,31.0,68.7,,2024,0.75
Hawaii,BW,104.0,105.0,0.4727,52.6,48.5,18.6,15.7,25.8,25.3,39.0,33.6,53.8,49.3,34.0,30.8,65.9,,2024,0.625
Little Rock,OVC,105.7,106.7,0.4725,52.5,48.0,17.3,17.9,32.1,30.3,33.5,35.2,53.1,48.0,34.1,32.0,68.8,,2024,0.6363636363636364
La Salle,A10,105.6,106.6,0.4721,49.2,50.7,14.2,15.4,27.0,30.8,24.8,33.3,47.6,49.3,34.5,35.8,66.6,,2024,0.5
Saint Louis,A10,111.2,112.3,0.4717,51.5,54.3,16.8,14.2,26.1,28.5,36.3,35.3,49.6,53.9,36.4,36.6,69.4,,2024,0.40625
Fort Wayne,Horz,103.1,104.1,0.4709,53.8,51.5,14.5,22.0,22.8,30.0,31.0,32.6,53.4,52.8,36.3,32.8,70.6,,2024,0.6774193548387096
Georgetown,BE,109.4,110.6,0.4663,48.6,55.7,17.9,16.4,33.4,30.7,33.9,33.6,46.3,57.4,34.6,35.3,66.6,,2024,0.28125
Brown,Ivy,104.1,105.4,0.4655,49.7,51.2,18.3,16.8,31.9,27.3,33.0,32.1,49.2,52.2,33.7,33.1,67.2,,2024,0.43333333333333335
Illinois Chicago,MVC,100.4,101.7,0.4622,50.6,48.9,17.7,17.4,22.9,28.4,26.0,35.9,48.4,49.2,36.0,32.2,68.1,,2024,0.375
Utah Valley,WAC,98.1,99.5,0.4584,47.1,48.0,18.1,18.1,28.5,27.2,35.4,36.0,48.9,47.6,28.5,32.6,67.6,,2024,0.5333333333333333
Loyola Marymount,WCC,107.9,109.5,0.4573,51.6,50.4,16.3,12.4,29.4,27.1,28.8,28.3,49.2,49.8,36.8,34.3,64.8,,2024,0.4
Fordham,A10,100.5,102.0,0.4559,46.7,50.4,18.2,19.7,32.5,27.4,35.1,45.2,46.2,48.9,31.5,35.9,68.8,,2024,0.3939393939393939
East Tennessee St.,SC,101.8,103.6,0.4482,46.9,50.9,18.1,18.8,35.1,29.4,33.9,36.7,47.1,51.2,31.2,33.7,66.9,,2024,0.5757575757575758
Rice,Amer,107.0,109.1,0.4457,50.5,52.6,17.3,14.8,28.5,29.5,29.9,27.4,50.9,50.0,33.2,37.9,65.8,,2024,0.3548387096774194
Fairfield,MAAC,107.3,109.4,0.4446,51.8,52.3,15.5,20.4,28.6,30.7,28.6,26.2,49.9,53.0,36.4,34.0,68.3,,2024,0.6666666666666666
Temple,Amer,101.9,103.9,0.4444,46.0,50.4,14.1,17.0,28.2,29.7,32.1,36.0,44.9,51.3,31.7,32.6,66.8,,2024,0.45714285714285713
Vanderbilt,SEC,104.1,106.2,0.4437,45.4,53.0,15.3,15.9,28.2,29.3,35.2,29.5,47.4,51.0,28.3,37.4,65.6,,2024,0.28125
Pepperdine,WCC,106.0,108.3,0.438,50.8,54.7,16.4,16.9,28.5,25.9,32.6,33.9,49.5,53.4,35.6,38.4,67.5,,2024,0.41935483870967744
Stephen F. Austin,WAC,100.0,102.3,0.4345,49.4,49.6,21.9,22.9,33.3,30.4,42.2,47.4,49.2,46.0,33.2,37.1,69.3,,2024,0.5806451612903226
Gardner Webb,BSth,102.1,104.6,0.4305,49.1,50.3,16.1,16.0,27.9,26.7,35.9,39.4,47.4,50.0,34.8,34.0,69.4,,2024,0.5666666666666667
UMKC,Sum,100.6,103.1,0.4299,49.4,51.1,17.9,17.3,31.3,25.3,29.3,45.1,48.9,52.7,33.4,32.4,66.4,,2024,0.5517241379310345
Louisville,ACC,104.2,106.9,0.427,48.4,54.6,18.1,16.2,28.1,27.5,38.8,33.8,49.4,53.8,30.6,37.2,69.5,,2024,0.25
Illinois St.,MVC,101.8,104.5,0.4249,47.7,50.9,17.1,16.4,28.9,26.0,36.1,27.2,50.4,52.3,28.8,32.5,63.7,,2024,0.4838709677419355
Rhode Island,A10,106.1,109.1,0.4225,51.5,52.6,18.5,13.1,29.1,28.2,39.4,30.0,51.1,52.0,34.9,35.7,68.6,,2024,0.3870967741935484
Monmouth,CAA,104.7,107.7,0.4201,49.4,50.0,15.3,17.8,30.5,32.2,29.2,33.3,47.8,49.3,34.8,34.0,67.7,,2024,0.5454545454545454
Penn,Ivy,108.4,111.5,0.4201,51.9,54.0,16.7,14.0,29.1,26.6,27.0,26.7,51.2,53.9,35.3,36.1,65.5,,2024,0.4074074074074074
Texas St.,SB,98.9,101.7,0.42,47.1,49.7,19.9,18.6,31.2,29.4,37.8,38.3,47.1,50.6,31.4,32.1,66.3,,2024,0.5151515151515151
Eastern Kentucky,ASun,106.8,109.9,0.4197,50.6,49.8,16.1,13.9,33.1,31.0,32.0,29.5,48.8,45.6,36.1,38.7,68.4,,2024,0.6071428571428571
Northern Kentucky,Horz,101.6,104.5,0.4186,50.6,51.3,17.3,20.1,29.4,32.6,35.1,28.8,52.2,54.5,31.6,31.2,67.9,,2024,0.5806451612903226
Columbia,Ivy,106.4,109.6,0.4158,52.5,52.8,17.8,17.0,27.9,28.6,29.3,28.5,50.2,54.1,37.4,33.9,68.5,,2024,0.5416666666666666
George Washington,A10,106.1,109.4,0.4133,51.5,49.8,17.1,13.9,25.9,29.2,34.2,22.8,49.9,48.3,35.8,34.7,70.0,,2024,0.4838709677419355
Tulsa,Amer,101.4,104.6,0.4103,50.3,49.7,18.2,18.1,24.4,30.4,40.6,35.1,51.7,50.0,32.1,32.7,70.4,,2024,0.5333333333333333
Northern Colorado,BSky,107.9,111.4,0.4074,55.7,53.1,15.7,15.5,24.0,25.4,28.1,29.4,56.7,52.7,36.0,35.8,69.9,,2024,0.6333333333333333
Cleveland St.,Horz,106.3,109.9,0.4068,49.9,51.5,15.0,19.5,34.2,35.2,31.4,38.4,49.7,55.1,33.5,30.5,67.3,,2024,0.6060606060606061
